id,year,month,nombre,codigoruta,nombreruta,pasajerosadultomayor,pasajerosregulares,pasajerostotales,cant_feriados,nombres_feriados,es_feriado_mes,precipitacion_mm,temperatura_c,dia_semana,es_fin_semana,trimestre,temporada,nivel_precipitacion,feriado_finde,periodo_escolar,ruta_promedio_pasajeros,proporcion_adultos_mayor,year_norm
164,2021,1,"AUTOTRANSPORTES LUMACA, S.A.",300,SAN JOSE-CARTAGO Y VICEVERSA,1710,56622,58332,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,25952.85913705584,0.029314453225447002,0
165,2021,1,"AUTOTRANSPORTES LUMACA, S.A.",300,SAN JOSE-CARTAGO Y VICEVERSA,1852,57663,59515,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,25952.85913705584,0.03111768263996236,0
166,2021,1,"AUTOTRANSPORTES LUMACA, S.A.",300,SAN JOSE-CARTAGO Y VICEVERSA,6442,132609,139051,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,25952.85913705584,0.04632799240571872,0
167,2021,1,"AUTOTRANSPORTES LUMACA, S.A.",300,SAN JOSE-CARTAGO Y VICEVERSA,714,25981,26695,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,25952.85913705584,0.026745579862151633,0
168,2021,1,"AUTOTRANSPORTES LUMACA, S.A.",300,SAN JOSE-CARTAGO Y VICEVERSA,208,7052,7260,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,25952.85913705584,0.028646191984575128,0
169,2021,1,"AUTOTRANSPORTES LUMACA, S.A.",300,SAN JOSE-CARTAGO Y VICEVERSA,48,1718,1766,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,25952.85913705584,0.027164685908319185,0
170,2021,1,"AUTOTRANSPORTES LUMACA, S.A.",300,SAN JOSE-CARTAGO Y VICEVERSA,29,1277,1306,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,25952.85913705584,0.02218821729150727,0
171,2021,1,"AUTOTRANSPORTES LUMACA, S.A.",300,SAN JOSE-CARTAGO Y VICEVERSA,28,1062,1090,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,25952.85913705584,0.025664527956003668,0
172,2021,1,"AUTOTRANSPORTES LUMACA, S.A.",300,SAN JOSE-CARTAGO Y VICEVERSA,21,2232,2253,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,25952.85913705584,0.009316770186335404,0
173,2021,1,"AUTOTRANSPORTES LUMACA, S.A.",300,SAN JOSE-CARTAGO Y VICEVERSA,22,1529,1551,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,25952.85913705584,0.014175257731958763,0
174,2021,1,"AUTOTRANSPORTES LUMACA, S.A.",300,SAN JOSE-CARTAGO Y VICEVERSA,37,2096,2133,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,25952.85913705584,0.017338331771321464,0
175,2021,1,"AUTOTRANSPORTES LUMACA, S.A.",300,SAN JOSE-CARTAGO Y VICEVERSA,29,1970,1999,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,25952.85913705584,0.0145,0
176,2021,1,"AUTOTRANSPORTES LUMACA, S.A.",300,SAN JOSE-CARTAGO Y VICEVERSA,3,418,421,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,25952.85913705584,0.0071090047393364926,0
177,2021,1,"AUTOTRANSPORTES LUMACA, S.A.",300,SAN JOSE-CARTAGO Y VICEVERSA,34,3167,3201,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,25952.85913705584,0.010618363522798251,0
178,2021,1,"AUTOTRANSPORTES LUMACA, S.A.",300,SAN JOSE-CARTAGO Y VICEVERSA,13,1523,1536,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,25952.85913705584,0.008458035133376708,0
244,2021,1,"AUTOTRANSPORTES SAN JOSE SAN JUAN DE TOBOSI SUR, S.A.",126,SAN JOSE-SAN JUAN NORTE-SAN JUAN SUR-RIO CONEJO-LOMA LARGA-SANTA ELENA ABAJO- SANTA ELENA ARRIBA- LA GUARIA- EL ALUMBRE- COPALCHI-CARTAGO,1729,24922,26651,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,15852.402777777777,0.06487318024913702,0
245,2021,1,"AUTOTRANSPORTES SAN JOSE SAN JUAN DE TOBOSI SUR, S.A.",126,SAN JOSE-SAN JUAN NORTE-SAN JUAN SUR-RIO CONEJO-LOMA LARGA-SANTA ELENA ABAJO- SANTA ELENA ARRIBA- LA GUARIA- EL ALUMBRE- COPALCHI-CARTAGO,110,1862,1972,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,15852.402777777777,0.055752660922453116,0
310,2021,1,"BUSES METROPOLI, S.A.",307,CARTAGO-COT-SAN JOSE –VOLCAN IRAZU-CARTAGO-TIERRA BLANCA-POTRERO CERRADO-SANATORIO   CARTAGO-SAN JUAN DE CHICUA-LA PASTORA,64,2314,2378,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,28056.94674556213,0.026902059688944935,0
311,2021,1,"BUSES METROPOLI, S.A.",307,CARTAGO-COT-SAN JOSE –VOLCAN IRAZU-CARTAGO-TIERRA BLANCA-POTRERO CERRADO-SANATORIO   CARTAGO-SAN JUAN DE CHICUA-LA PASTORA,2115,65083,67198,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,28056.94674556213,0.03147368264408697,0
312,2021,1,"BUSES METROPOLI, S.A.",307,CARTAGO-COT-SAN JOSE –VOLCAN IRAZU-CARTAGO-TIERRA BLANCA-POTRERO CERRADO-SANATORIO   CARTAGO-SAN JUAN DE CHICUA-LA PASTORA,1068,34566,35634,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,28056.94674556213,0.029970534586782657,0
313,2021,1,"BUSES METROPOLI, S.A.",307,CARTAGO-COT-SAN JOSE –VOLCAN IRAZU-CARTAGO-TIERRA BLANCA-POTRERO CERRADO-SANATORIO   CARTAGO-SAN JUAN DE CHICUA-LA PASTORA,74,3635,3709,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,28056.94674556213,0.019946091644204852,0
314,2021,1,"BUSES METROPOLI, S.A.",307,CARTAGO-COT-SAN JOSE –VOLCAN IRAZU-CARTAGO-TIERRA BLANCA-POTRERO CERRADO-SANATORIO   CARTAGO-SAN JUAN DE CHICUA-LA PASTORA,187,7151,7338,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,28056.94674556213,0.025480310669028478,0
315,2021,1,"BUSES SAN IGNACIO DE LOYOLA, S.A.",322,CARTAGO-LOYOLA-QUIRCOT CON EXTENSIONES A BARRIO EL CARMEN-SAN RAFAEL-COOPERROSALES-PARQUE INDUSTRIAL-LOS COLEGIOS Y VICEVERSA,3816,26398,30214,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,14030.994152046784,0.12629488664570576,0
316,2021,1,"BUSES SAN IGNACIO DE LOYOLA, S.A.",322,CARTAGO-LOYOLA-QUIRCOT CON EXTENSIONES A BARRIO EL CARMEN-SAN RAFAEL-COOPERROSALES-PARQUE INDUSTRIAL-LOS COLEGIOS Y VICEVERSA,0,0,0,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,14030.994152046784,0.0,0
